# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.652289873808e-10       7.655623590355e-15       2.359865772911e-13       0.000000000000e+00       8.507645411491e-11       8.857669229324e-12      -7.426162148043e-15 
   41       1.677213934550e-10       8.316636353788e-15       2.265310181357e-13       0.000000000000e+00       8.087134931960e-11       8.445895609441e-12      -6.837434028367e-15 
   42       1.702324188028e-10       9.013177514766e-15       2.156803579845e-13       0.000000000000e+00       7.694622735032e-11       8.062399022812e-12      -6.501745910110e-15 
   43       1.727517018808e-10       9.745740825014e-15       2.035159748736e-13       0.000000000000e+00       7.325874730873e-11       7.704672241113e-12      -6.532374113125e-15 
   44       1.752839879972e-10       1.051495785295e-14       1.899938173724e-13       0.000000000000e+00       6.980323798561e-11       7.371890611931e-12      -6.879121882113e-15 
   45       1.778370384453e-10       1.132147894469e-14       1.750270641696e-13       0.000000000000e+00       6.657618221875e-11       7.062757159709e-12      -7.428400698570e-15 
   46       1.804168858253e-10       1.216592717160e-14       1.585171920161e-13       0.000000000000e+00       6.356247991330e-11       6.774616871363e-12      -8.040497249372e-15 
   47       1.830276267181e-10       1.304889735768e-14       1.403531782409e-13       0.000000000000e+00       6.073454494179e-11       6.503354890082e-12      -8.548043300949e-15 
   48       1.856714097434e-10       1.397088861741e-14       1.204333230166e-13       0.000000000000e+00       5.806079839150e-11       6.244585203300e-12      -8.801760675201e-15 
   49       1.883488795138e-10       1.493208175114e-14       9.873985104142e-14       0.000000000000e+00       5.553608662185e-11       5.997850483756e-12      -8.826514796182e-15 
   50       1.910585016163e-10       1.593249742918e-14       7.528396899069e-14       0.000000000000e+00       5.315828605788e-11       5.763431217721e-12      -8.706621799435e-15 
   51       1.937961856547e-10       1.697205294535e-14       5.008542962729e-14       0.000000000000e+00       5.091924220731e-11       5.541123495255e-12      -8.543274291465e-15 
   52       1.965550878924e-10       1.805055785202e-14       2.317288838646e-14       0.000000000000e+00       4.880434596606e-11       5.330203045551e-12      -8.455423218886e-15 
   53       1.993282747269e-10       1.916781884286e-14      -5.429404819484e-15       0.000000000000e+00       4.679712143032e-11       5.129737306451e-12      -8.549423675095e-15 
   54       2.021179714762e-10       2.032399611116e-14      -3.574636857282e-14       0.000000000000e+00       4.489534962919e-11       4.939698629276e-12      -8.816778827262e-15 
   55       2.049283478861e-10       2.151933101910e-14      -6.781821598100e-14       0.000000000000e+00       4.309835245580e-11       4.760074645396e-12      -9.211638542517e-15 
   56       2.077627898060e-10       2.275404508191e-14      -1.016880089155e-13       0.000000000000e+00       4.140213531311e-11       4.590524397112e-12      -9.679315677173e-15 
   57       2.106238217823e-10       2.402834018359e-14      -1.374018743739e-13       0.000000000000e+00       3.979917354551e-11       4.430356965615e-12      -1.015585825772e-14 
   58       2.135130296521e-10       2.534239879262e-14      -1.750092208418e-13       0.000000000000e+00       3.827819887042e-11       4.278510098956e-12      -1.056762166183e-14 
   59       2.164313771594e-10       2.669626674475e-14      -2.145486634051e-13       0.000000000000e+00       3.682730108633e-11       4.133837765515e-12      -1.084875777070e-14 
   60       2.193804174683e-10       2.808946931392e-14      -2.560014907689e-13       0.000000000000e+00       3.544455939155e-11       3.996099334892e-12      -1.099939690379e-14 
   61       2.223612266944e-10       2.952130620432e-14      -2.993277550788e-13       0.000000000000e+00       3.412950691022e-11       3.865162750491e-12      -1.104024536497e-14 
   62       2.253739718784e-10       3.099095745578e-14      -3.444793504087e-13       0.000000000000e+00       3.287993337514e-11       3.740705124533e-12      -1.099603234929e-14 
   63       2.284178469362e-10       3.249747967866e-14      -3.913997446727e-13       0.000000000000e+00       3.169178394170e-11       3.622201838067e-12      -1.089568947896e-14 
   64       2.314910086096e-10       3.403980228879e-14      -4.400237115390e-13       0.000000000000e+00       3.055905800172e-11       3.508915640991e-12      -1.077253033929e-14 
   65       2.345914911491e-10       3.561684748061e-14      -4.902914769924e-13       0.000000000000e+00       2.947546490763e-11       3.400099443005e-12      -1.065693106345e-14 
   66       2.377203193835e-10       3.722792813529e-14      -5.421952434206e-13       0.000000000000e+00       2.844002598758e-11       3.295679087316e-12      -1.055216711902e-14 
   67       2.408789423979e-10       3.887242770127e-14      -5.957420684069e-13       0.000000000000e+00       2.745248156617e-11       3.195696119114e-12      -1.045376498782e-14 
   68       2.440682769893e-10       4.054968359376e-14      -6.509404520942e-13       0.000000000000e+00       2.651158767269e-11       3.100102023358e-12      -1.035651990632e-14 
   69       2.472886709935e-10       4.225898689093e-14      -7.078004723055e-13       0.000000000000e+00       2.561506399938e-11       3.008753302165e-12      -1.025446564079e-14 
   70       2.505398666130e-10       4.399958203002e-14      -7.663339196633e-13       0.000000000000e+00       2.475954185958e-11       2.921406552191e-12      -1.014084426230e-14 
   71       2.538209637445e-10       4.577066650348e-14      -8.265544327098e-13       0.000000000000e+00       2.394051214599e-11       2.837713542016e-12      -1.000807592189e-14 
   72       2.571310030081e-10       4.757135175704e-14      -8.884684363806e-13       0.000000000000e+00       2.315348518364e-11       2.757315495723e-12      -9.850061898790e-15 
   73       2.604709258945e-10       4.940053786968e-14      -9.520456434865e-13       0.000000000000e+00       2.239784368229e-11       2.680157834668e-12      -9.669672700215e-15 
   74       2.638419263466e-10       5.125701415736e-14      -1.017243108813e-12       0.000000000000e+00       2.167363875376e-11       2.606227235726e-12      -9.472649372902e-15 
   75       2.672448422542e-10       5.313949467029e-14      -1.084013850491e-12       0.000000000000e+00       2.098041958831e-11       2.535455165673e-12      -9.265420238837e-15 
   76       2.706801329292e-10       5.504661700328e-14      -1.152306775145e-12       0.000000000000e+00       2.031720908162e-11       2.467715223547e-12      -9.055123941421e-15 
   77       2.741478565824e-10       5.697694110611e-14      -1.222066603049e-12       0.000000000000e+00       1.968247946191e-11       2.402820483023e-12      -8.849632491632e-15 
   78       2.776476477983e-10       5.892894809380e-14      -1.293233793274e-12       0.000000000000e+00       1.907412791692e-11       2.340520834772e-12      -8.657574314190e-15 
   79       2.811786950122e-10       6.090103905701e-14      -1.365744468837e-12       0.000000000000e+00       1.848945222100e-11       2.280500328833e-12      -8.488357293723e-15 
   80       2.847401845754e-10       6.289158778904e-14      -1.439535930200e-12       0.000000000000e+00       1.792582191666e-11       2.222455454184e-12      -8.349949347584e-15 
   81       2.883327713206e-10       6.489911212953e-14      -1.514564463120e-12       0.000000000000e+00       1.738287971598e-11       2.166351480186e-12      -8.241725557306e-15 
   82       2.919573234617e-10       6.692213034491e-14      -1.590790501259e-12       0.000000000000e+00       1.686067970459e-11       2.112205989814e-12      -8.160415081853e-15 
   83       2.956144650171e-10       6.895910966643e-14      -1.668173340719e-12       0.000000000000e+00       1.635901442847e-11       2.060010755575e-12      -8.102215102555e-15 
   84       2.993045619268e-10       7.100846609899e-14      -1.746671168681e-12       0.000000000000e+00       1.587740340166e-11       2.009730580707e-12      -8.062772341980e-15 
   85       3.030277081683e-10       7.306856422987e-14      -1.826241092046e-12       0.000000000000e+00       1.541508161398e-11       1.961302140387e-12      -8.037164582822e-15 
   86       3.067837118735e-10       7.513771703762e-14      -1.906839166071e-12       0.000000000000e+00       1.497098803864e-11       1.914632822933e-12      -8.019882186777e-15 
   87       3.105720814448e-10       7.721418570075e-14      -1.988420423008e-12       0.000000000000e+00       1.454375414000e-11       1.869599571007e-12      -8.004809613425e-15 
   88       3.143920116719e-10       7.929617940663e-14      -2.070938900745e-12       0.000000000000e+00       1.413169238121e-11       1.826047722820e-12      -7.985206939111e-15 
   89       3.182426943193e-10       8.138187983692e-14      -2.154346164712e-12       0.000000000000e+00       1.373319812729e-11       1.783829242090e-12      -7.955156476308e-15 
   90       3.221243359884e-10       8.346951944284e-14      -2.238586545468e-12       0.000000000000e+00       1.334805265728e-11       1.742926806641e-12      -7.914202982791e-15 
   91       3.260372750887e-10       8.555731515361e-14      -2.323601203334e-12       0.000000000000e+00       1.297630432963e-11       1.703347140845e-12      -7.863410686646e-15 
   92       3.299816626837e-10       8.764344496880e-14      -2.409329574602e-12       0.000000000000e+00       1.261786815761e-11       1.665082798945e-12      -7.803966403495e-15 
   93       3.339574534687e-10       8.972604813683e-14      -2.495709377599e-12       0.000000000000e+00       1.227252051021e-11       1.628111596349e-12      -7.737183004455e-15 
   94       3.379643967478e-10       9.180322533343e-14      -2.582676618753e-12       0.000000000000e+00       1.193989381298e-11       1.592396040928e-12      -7.664502884082e-15 
   95       3.420020274119e-10       9.387303884017e-14      -2.670165598661e-12       0.000000000000e+00       1.161947124891e-11       1.557882764314e-12      -7.587501428328e-15 
   96       3.460696569157e-10       9.593351272289e-14      -2.758108918152e-12       0.000000000000e+00       1.131058145933e-11       1.524501953200e-12      -7.507890482490e-15 
   97       3.501663642554e-10       9.798263301024e-14      -2.846437484354e-12       0.000000000000e+00       1.101239324475e-11       1.492166780631e-12      -7.427521819161e-15 
   98       3.542909869461e-10       1.000183478721e-13      -2.935080516763e-12       0.000000000000e+00       1.072391026577e-11       1.460772837309e-12      -7.348390606185e-15 
